City_ID,City,Country,Max Temp,Current Description,Lat,Lng,HotelName
459,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
460,Kindu,CD,73.67,broken clouds,-2.95,25.95,Résidence Okanda
461,Comodoro Rivadavia,AR,67.86,clear sky,-45.8667,-67.5,Austral Hotel
464,Cuamba,MZ,70.02,broken clouds,-14.8031,36.5372,Hotel Vision
466,Bandarbeyla,SO,79.59,broken clouds,9.4942,50.8122,JABIR HOTEL
470,Cap Malheureux,MU,79.29,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
472,Sungairaya,ID,78.87,overcast clouds,0.7,108.9,Mess P.Milu
478,Phrae,TH,66.61,scattered clouds,18.0833,100.0,Gingerbread Cottage Resort & Spa
479,Manggar,ID,79.7,overcast clouds,-2.8833,108.2667,Guest Hotel
480,Bambanglipuro,ID,76.93,overcast clouds,-7.95,110.2833,Puri Brata
484,Auki,SB,76.53,overcast clouds,-8.7676,160.7034,Auki Motel
491,Sibolga,ID,75.96,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
494,Riyadh,SA,73.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
506,San Nicolas,PH,78.98,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
508,Gat,IL,68.68,broken clouds,31.61,34.7642,OlusHome
510,Sechura,PE,77.43,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
513,Kuliyapitiya,LK,76.68,moderate rain,7.4688,80.0401,Rest House
523,Tahta,EG,77.32,few clouds,26.7693,31.5021,مصطفي عساف
530,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
542,Labuhan,ID,78.66,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
550,Sancti Spiritus,CU,78.98,scattered clouds,21.9297,-79.4425,Hostal El Parque
552,Hirara,JP,70.48,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
567,Barranca,PE,68.86,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
570,Mitzic,GA,71.78,light rain,0.7821,11.549,Motel Emys
571,Noumea,NC,75.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
572,Namatanai,PG,78.37,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
573,Lae,PG,75.54,overcast clouds,-6.7221,146.9847,Phils Hotel
578,Nhulunbuy,AU,77.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
579,Mazatlan,MX,74.39,overcast clouds,23.2167,-106.4167,Hotel Playamar
580,Ca Mau,VN,72.91,light rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
590,Yilan,TW,68.11,overcast clouds,24.757,121.753,Dar Chen Hotel
594,Zambezi,ZM,73.96,light rain,-13.5432,23.1047,Royal Kutachika Lodge
599,Payo,ID,73.65,overcast clouds,-3.7508,103.6372,Mess keban agung
606,Chumphon,TH,67.69,broken clouds,10.3333,98.8333,สกาน จ๋า.
609,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
618,Namibe,AO,70.95,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
621,Wewak,PG,78.15,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
622,San Esteban,HN,69.85,overcast clouds,15.2,-85.75,TORO MUERTO
624,Malumfashi,NG,79.79,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
627,Lundazi,ZM,68.68,broken clouds,-12.2929,33.1782,Knox Lodge
628,Marsa Matruh,EG,75.4,clear sky,31.3525,27.2453,Beau Site
629,Vanimo,PG,77.65,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
635,Poum,NC,79.14,clear sky,-20.2333,164.0167,Gîte kajeon
642,Kang,BW,76.95,light rain,-23.6752,22.7876,Kang Ultra Stop
644,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
647,Villazon,BO,72.84,scattered clouds,-22.0866,-65.5942,La Candelaria
653,Bandundu,CD,77.61,broken clouds,-3.3167,17.3667,Coja Color
658,Kieta,PG,78.82,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
659,Chake Chake,TZ,79.74,overcast clouds,-5.2459,39.7666,Hotel Archipelago
665,Dingle,PH,76.46,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
668,Rustenburg,ZA,72.86,broken clouds,-25.6676,27.2421,Rustenburg Boutique Hotel
671,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
